Folder,Accuracy_Chunks,Accuracy_Files,Accuracy_Pages,Precision_Chunks,Precision_Files,Precision_Pages,Queries_with_no_results,Queries_with_results,Recall_Chunks,Recall_Files,Recall_Pages,Total_queries
BASELINE_128_Chunk,0.69,0.92,0.75,0.69,0.93,0.76,74,956,0.90,0.92,0.91,1030
BASELINE_128_Chunk_25_Overlap,0.71,0.93,0.75,0.71,0.93,0.76,62,968,0.92,0.94,0.92,1030
BASELINE_128_Chunk_50_Overlap,0.73,0.92,0.76,0.72,0.93,0.77,50,980,0.93,0.95,0.94,1030
BASELINE_256_Chunk,0.72,0.92,0.75,0.70,0.93,0.76,115,915,0.85,0.88,0.86,1030
BASELINE_256_Chunk_25_Overlap,0.72,0.92,0.74,0.71,0.93,0.74,114,916,0.85,0.88,0.86,1030
BASELINE_256_Chunk_50_Overlap,0.75,0.92,0.76,0.75,0.93,0.76,110,920,0.86,0.89,0.86,1030
BASELINE_384_Chunk,0.73,0.91,0.73,0.71,0.93,0.73,137,893,0.82,0.86,0.83,1030
BASELINE_384_Chunk_25_Overlap,0.74,0.90,0.74,0.73,0.92,0.74,154,876,0.81,0.84,0.81,1030
BASELINE_384_Chunk_50_Overlap,0.68,0.82,0.68,0.71,0.89,0.73,204,826,0.74,0.78,0.75,1030
BASELINE_512_Chunk,0.61,0.73,0.58,0.68,0.87,0.68,271,759,0.66,0.71,0.65,1030
BASELINE_512_Chunk_25_Overlap,0.74,0.90,0.73,0.73,0.93,0.73,171,859,0.79,0.82,0.79,1030
BASELINE_512_Chunk_50_Overlap,0.75,0.90,0.75,0.75,0.93,0.75,160,870,0.80,0.84,0.80,1030
COS_BASELINE_128_Chunk,0.70,0.93,0.76,0.69,0.94,0.76,38,992,0.95,0.96,0.95,1030
COS_BASELINE_128_Chunk_25_Overlap,0.72,0.93,0.76,0.71,0.93,0.76,32,998,0.96,0.97,0.96,1030
COS_BASELINE_128_Chunk_50_Overlap,0.73,0.93,0.77,0.73,0.94,0.77,29,1001,0.96,0.97,0.96,1030
COS_BASELINE_256_Chunk,0.73,0.92,0.75,0.71,0.92,0.75,56,974,0.92,0.94,0.93,1030
COS_BASELINE_256_Chunk_25_Overlap,0.73,0.93,0.75,0.72,0.93,0.74,63,967,0.92,0.93,0.92,1030
COS_BASELINE_256_Chunk_50_Overlap,0.76,0.92,0.76,0.75,0.92,0.75,56,974,0.93,0.94,0.93,1030
COS_BASELINE_384_Chunk,0.73,0.91,0.74,0.72,0.92,0.73,80,950,0.90,0.92,0.90,1030
COS_BASELINE_384_Chunk_25_Overlap,0.74,0.90,0.74,0.73,0.91,0.74,91,939,0.88,0.90,0.88,1030
COS_BASELINE_384_Chunk_50_Overlap,0.76,0.91,0.75,0.75,0.92,0.75,89,941,0.89,0.91,0.89,1030
COS_BASELINE_512_Chunk,0.73,0.91,0.74,0.72,0.92,0.74,112,918,0.86,0.88,0.86,1030
COS_BASELINE_512_Chunk_25_Overlap,0.75,0.91,0.74,0.74,0.93,0.74,103,927,0.87,0.89,0.87,1030
COS_BASELINE_512_Chunk_50_Overlap,0.75,0.91,0.75,0.75,0.93,0.75,107,923,0.87,0.89,0.87,1030
COS_MD_N2_256_Chunk,0.69,0.91,0.72,0.68,0.92,0.73,73,957,0.90,0.92,0.90,1030
COS_MD_N2_256_Chunk_25_Overlap,0.71,0.91,0.72,0.71,0.92,0.73,69,961,0.91,0.93,0.91,1030
COS_MD_N2_256_Chunk_50_Overlap,0.70,0.90,0.71,0.70,0.91,0.71,73,957,0.90,0.92,0.90,1030
MD_BASELINE_256_Chunk,0.65,0.91,0.72,0.65,0.93,0.72,128,902,0.82,0.87,0.84,1030
MD_BASELINE_256_Chunk_25_Overlap,0.67,0.90,0.70,0.67,0.92,0.71,140,890,0.81,0.85,0.82,1030
MD_BASELINE_256_Chunk_50_Overlap,0.68,0.90,0.71,0.69,0.93,0.73,126,904,0.83,0.87,0.84,1030
MD_BASELINE_384_Chunk,0.66,0.89,0.70,0.67,0.91,0.72,164,866,0.78,0.83,0.79,1030
MD_BASELINE_384_Chunk_25_Overlap,0.67,0.87,0.70,0.67,0.92,0.71,165,865,0.78,0.83,0.79,1030
MD_BASELINE_384_Chunk_50_Overlap,0.68,0.89,0.71,0.69,0.92,0.71,154,876,0.80,0.84,0.80,1030
MD_BASELINE_512_Chunk,0.67,0.87,0.70,0.68,0.91,0.71,195,835,0.74,0.80,0.75,1030
MD_BASELINE_512_Chunk_25_Overlap,0.70,0.88,0.71,0.71,0.92,0.71,191,839,0.76,0.80,0.76,1030
MD_BASELINE_512_Chunk_50_Overlap,0.68,0.88,0.70,0.71,0.91,0.72,192,838,0.75,0.80,0.76,1030
MD_N2_256_Chunk,0.69,0.90,0.72,0.70,0.93,0.73,135,895,0.82,0.86,0.83,1030
MD_N2_256_Chunk_25_Overlap,0.70,0.90,0.72,0.71,0.93,0.73,131,899,0.83,0.86,0.83,1030
MD_N2_256_Chunk_50_Overlap,0.70,0.90,0.71,0.71,0.92,0.72,121,909,0.84,0.87,0.84,1030
MD_VAR_CHUNK_512_640_Chunk,0.67,0.90,0.00,0.69,0.91,0.00,118,912,0.84,0.88,0.00,1030
MD_VAR_CHUNK_640_1024_Chunk,0.71,0.89,0.00,0.70,0.91,0.00,140,890,0.82,0.85,0.00,1030
